feasibleDijkstra,lengthDijkstra,timeDijkstra,solvingTimeDijkstra,feasibleAStar,lengthAStar,timeAStar,solvingTimeAStar,mode
1,81126.29,2905.9309066629876,19,1,81126.29,2905.9309066629876,14,0
1,103296.47,6277.383214487305,71,1,103296.47,6277.383214487305,26,0
1,32164.947,2505.1903186650966,13,1,32164.947,2505.1903186650966,2,0
1,45654.363,4714.123544848853,72,1,45654.363,4714.123544848853,20,0
1,25059.982,1726.6460810432438,5,1,25059.982,1726.6460810432438,1,0
1,14172.907,807.2800695204053,0,1,14172.907,807.2800695204053,0,0
1,65281.54,3831.4384572483814,79,1,65281.54,3831.4384572483814,19,0
0,-1,-1,142,0,-1,-1,129,0
1,28990.166,3082.0142408231936,56,1,28990.166,3082.0142408231936,21,0
1,18448.264,2221.833007600645,31,1,18448.264,2221.833007600645,34,0
1,44540.848,3212.5900213219784,45,1,44540.848,3212.5900213219784,11,0
1,18220.574,2463.574102219716,24,1,18220.574,2463.574102219716,10,0
1,56331.695,3832.702752687998,3,1,56331.695,3832.702752687998,4,0
1,7349.781,677.038788489206,11,1,7349.781,677.038788489206,1,0
1,62517.965,5640.327915388998,65,1,62517.965,5640.327915388998,38,0
1,38539.938,3839.8232242038266,52,1,38539.938,3839.8232242038266,36,0
1,26905.598,2081.477873749764,4,1,26905.598,2081.477873749764,1,0
1,6419.5103,1128.286223721436,3,1,6419.5103,1128.286223721436,2,0
1,18552.104,1923.1362274674013,52,1,18552.104,1923.1362274674013,15,0
1,19304.188,2548.664957548413,30,1,19304.188,2548.664957548413,12,0
1,16404.744,1865.2266755659923,40,1,16404.744,1865.2266755659923,17,0
1,20546.299,1723.0558296184538,51,1,20546.299,1723.0558296184538,9,0
1,9705.337,973.5173490200038,9,1,9705.337,973.5173490200038,3,0
1,10023.258,661.1304648908884,14,1,10023.258,661.1304648908884,3,0
1,5528.6084,480.4526227531434,8,1,5528.6084,480.4526227531434,0,0
1,27356.639,2136.512040826525,60,1,27356.639,2136.512040826525,6,0
1,13549.032,1539.6666376094809,13,1,13549.032,1539.6666376094809,10,0
1,49317.207,3250.250587314606,13,1,49317.207,3250.250587314606,4,0
1,23030.562,3153.7744762266707,54,1,23030.562,3153.7744762266707,12,0
1,7758.0376,991.313766915594,19,1,7758.0376,991.313766915594,6,0
1,16647.783,1373.445219410216,24,1,16647.783,1373.445219410216,14,0
1,42375.242,3726.144100949965,43,1,42375.242,3726.144100949965,17,0
1,23755.5,2448.153055549957,53,1,23755.5,2448.153055549957,27,0
1,87829.22,5977.559511736268,79,1,87829.22,5977.559511736268,89,0
1,34455.39,2825.919970614978,60,1,34455.39,2825.919970614978,23,0
1,2939.783,449.19116740036014,2,1,2939.783,449.19116740036014,0,0
1,15725.486,1028.6288439437321,5,1,15725.486,1028.6288439437321,0,0
1,85429.49,4711.396411071346,27,1,85429.49,4711.396411071346,19,0
1,11301.087,1078.014690792356,30,1,11301.087,1078.014690792356,7,0
1,20206.652,685.230801951295,54,1,20206.652,685.230801951295,0,0
1,79445.87,6486.003106948305,74,1,79445.87,6486.003106948305,97,0
1,62765.14,5721.436869819097,61,1,62765.14,5721.436869819097,54,0
1,38348.32,2450.892161968877,57,1,38348.32,2450.892161968877,24,0
1,22601.26,1962.045239708492,13,1,22601.26,1962.045239708492,1,0
1,25796.318,2778.1275571888523,32,1,25796.318,2778.1275571888523,13,0
1,16185.782,1432.872597479958,16,1,16185.782,1432.872597479958,8,0
1,77016.2,5730.722640851272,21,1,77016.2,5730.722640851272,12,0
1,88802.08,3213.585353202737,80,1,88802.08,3213.585353202737,71,0
1,33276.008,2920.710409374917,5,1,33276.008,2920.710409374917,1,0
1,16508.994,1541.9116538028716,14,1,16508.994,1541.9116538028716,5,0
1,23552.633,2022.4158274639674,57,1,23552.633,2022.4158274639674,24,0
1,36756.586,3491.753334598815,15,1,36756.586,3491.753334598815,11,0
1,6375.2275,775.642346467699,4,1,6375.2275,775.642346467699,1,0
1,28360.36,2356.068824789456,57,1,28360.36,2356.068824789456,22,0
1,26241.527,3283.9957124368134,53,1,26241.527,3283.9957124368134,41,0
1,8568.695,1547.9627529973977,8,1,8568.695,1547.9627529973977,2,0
1,94250.445,4063.5921631223696,80,1,94250.445,4063.5921631223696,94,0
1,1533.7303,414.45778491210933,0,1,1533.7303,414.45778491210933,0,0
1,65995.96,4712.77583351939,75,1,65995.96,4712.77583351939,48,0
1,58874.992,5433.576193093226,74,1,58874.992,5433.576193093226,79,0
1,30999.35,2706.014151990756,60,1,30999.35,2706.014151990756,38,0
1,88241.45,6813.872165433917,49,1,88241.45,6813.872165433917,31,0
1,13801.493,810.9830940145771,29,1,13801.493,810.9830940145771,6,0
1,11027.8125,1047.7605465327672,20,1,11027.8125,1047.7605465327672,6,0
1,128881.984,6070.93473980081,33,1,128881.984,6070.93473980081,30,0
1,55582.152,3515.388845478057,75,1,55582.152,3515.388845478057,36,0
1,35898.49,2653.565686761173,2,1,35898.49,2653.565686761173,0,0
1,51397.58,4664.434477682382,55,1,51397.58,4664.434477682382,60,0
1,173340.69,10701.58405740325,78,1,173340.69,10701.58405740325,37,0
1,5227.3335,542.5106754422869,3,1,5227.3335,542.5106754422869,0,0
1,119022.875,5726.804907086279,86,1,119022.875,5726.804907086279,39,0
1,37363.996,2721.1987003799804,14,1,37363.996,2721.1987003799804,3,0
1,7131.9185,624.0196248811993,0,1,7131.9185,624.0196248811993,0,0
1,14208.891,1176.1029863204958,49,1,14208.891,1176.1029863204958,5,0
0,-1,-1,86,0,-1,-1,135,0
1,108318.41,8105.577897201604,76,1,108318.41,8105.577897201604,35,0
1,17321.05,1349.212791660854,9,1,17321.05,1349.212791660854,1,0
1,6081.764,599.1586235735755,1,1,6081.764,599.1586235735755,0,0
1,14426.288,1592.2450209989545,26,1,14426.288,1592.2450209989545,6,0
1,8488.055,628.87895104817,6,1,8488.055,628.87895104817,3,0
1,28105.035,1813.5486319962786,75,1,28105.035,1813.5486319962786,6,0
1,21773.432,3455.2604783436905,53,1,21773.432,3455.2604783436905,27,0
1,14225.107,1597.555726967402,26,1,14225.107,1597.555726967402,11,0
1,85422.36,4716.334007934219,15,1,85422.36,4716.334007934219,9,0
1,33968.117,4037.824622551577,68,1,33968.117,4037.824622551577,27,0
1,36234.367,2637.192134061896,33,1,36234.367,2637.192134061896,11,0
1,50623.652,4334.077935636112,68,1,50623.652,4334.077935636112,44,0
1,108127.02,6425.849885336011,70,1,108127.02,6425.849885336011,38,0
1,13876.456,973.7015894573752,3,1,13876.456,973.7015894573752,1,0
1,33721.11,2866.250063322654,28,1,33721.11,2866.250063322654,16,0
1,45093.99,2475.7097759682188,42,1,45093.99,2475.7097759682188,32,0
1,71052.94,5683.356243848801,40,1,71052.94,5683.356243848801,12,0
1,13729.311,1339.8910188564573,25,1,13729.311,1339.8910188564573,4,0
1,132518.52,7847.636950867985,19,1,132518.52,7847.636950867985,21,0
1,38034.082,4246.587479487421,48,1,38034.082,4246.587479487421,37,0
1,51754.145,3229.4413750794292,75,1,51754.145,3229.4413750794292,45,0
1,7338.77,739.3275740097589,6,1,7338.77,739.3275740097589,2,0
1,67840.26,3907.4422155567945,89,1,67840.26,3907.4422155567945,13,0
1,97936.9,5043.089120479801,81,1,97936.9,5043.089120479801,61,0
1,105238.26,7923.082740076882,43,1,105238.26,7923.082740076882,37,0
